Question,GPT-4o_Answer,Actual_Answer,Score
Irú ìyàwó wo ni Yorùbá ń pè ní ìyàwó àbètẹ́lẹ̀?,Ìyàwó àbètẹ́lẹ̀ ni obìnrin tí a bá ṣe àṣàrò lati ṣe iyawo ní ọ̀mínyìn kan ní kíákíá bí kò ṣe ni àṣejù.,Ìyàwó tí a tọrọ láti kékeré,0
"Ewe kan wà tí àwọn ara ilẹ̀ ìlà oòrùn ń pè ní ""ugwu,"" kínì orúkọ tí Yorùbá ń pè é?",Ewedu.,Ewé Ìròko,0
"Parí òwe Yorùbá yìí
 ""Gbogbo àkàsù kọ́ ló ń fojú kan ẹ̀fọ́ .....""",...kò lè mọ ọjọ́ tí omi ń yòò.,"Gbogbo ọmọ olóyè kọ́ ló ń joyè, gbgobo ọmọ ọba kọ́ ló ń dádé",0
"Ìgbà làákòkò, igi làákòkò yàtọ̀ sí ìlú. Kíni Yorùbá n pè ní àkòkò?","Yorùbá n pè àkòkò ni ""èèyàn.""",Ẹyẹ,0
"Kíni Yorùbá ń pè ní ""òkùdù""?
 ""Wọ́n ní òkùdù tó pa ẹṣin lè pa ènìyàn.""","Yorùbá ń pè ""òkùdù"" ní ""poison"" ní ìgbàráyè.",Kòtò tí a ti patì,0
"Kíni ọ̀rọ̀ Yorùbá fún ""accused"" àti ""suspect""?","Ọ̀rọ̀ Yorùbá fún ""accused"" ni ""ẹlẹ́ṣẹ̀"" àti fún ""suspect"" ni ""afurasi.""","Accused - Afẹ̀sùnkàn
 Suspect – Afurasí",0
"Kíni ""court of appeal"" ní Yorùbá?",Ilé ẹjọ ẹbẹ.,Ilé-ẹjọ́ kòtémilọ́rùn,0
"Tí ""reason"" bá jẹ́ ìdí ní èdè Yorùbá, kíni ""purpose""?",Ète.,Èrèdí,0
"Kíni Yorùbá ń pè ní ""calendar""?",Ìwé Kikọ̀ ọdún.,Kọ́jọ́dá,0
"Ibo ni àwọn Yorùbá máa ń pè ní ""ìlofi""?","""Ilofi"" jẹ́ ibi ti àwọn Yorùbá máa ń pè ní ibi ìjọkó àwọn ọba.",Ibi tí ọba máa ń wà kí wọ́n tó lọ sí ìpèbí,0
"Àlọ́ oooo
 Óún sàìjó, ó ń fúnú ta, óún fẹ̀yìn ta, óún fọwọ́ ta. Kíni oooo?",Ojò.,Aláǹtakùn,0
"Kíni Yorùbá n pè ní ""ìrèmòjé""?",Ìrèmòjé ni àpéjáde àìsàn gbogbo.,Orin tí a máa fi ń dárò ọdẹ,0
"Parí òwe Yorùbá yìí:
 ""Bí ọwọ́ eku bá ṣe mọ́ ..........""","""bí ọwọ́ eku bá ṣe mọ́ orí ilé, ni orí ara ẹni.""",...ló ṣẹ fi ń họra,0
Kíni ìyàtọ̀ láàrin àáró àti àgàdàgídì?,"Àáró jẹ ohun tí ó bèèrè tàbí kìka aríran síláàfi, nígbàtí àgàdàgídì jẹ ìtàn àròjinlẹ̀ tàbí àfojúsùn.","Àáró - Ìfọ́wọ́sowọ́pọ̀
 Àgàdàgídì - Ọtí tí a fi ọ̀gẹ̀dẹ̀ àgbagbà ṣe",0
"Kíni Yorùbá ń pè ní ""ọ̀wẹ̀""?",Aso ìmúràn.,Òkèlè,0
"Parí òwe yìí
 ""Òní òkété lẹ́yìn àrọ̀, ọ̀la òkété lẹ́yìn àrọ̀ .....""","""A à fi wèrè kéré.""","...bí ojú ò bá ti àrò, ó yẹ kí ojú ó ti òkété",0
Fi idi pa igba,Igba ni oúnjẹ kan tí a n ná láti oúnjẹ koírín náà tí ó ti yẹ lórísirísi.,"Ẹni tó jókòó síbẹ̀, tí ó kọ̀ látì lọ",0
"Kíni Yorùbá n pè ní ""Adam Apple""?","Yorùbá n pè ní ""ìlàrárò.""",Gògóńgò,0
"Kíni ""Baobab tree"" ní Yorùbá?",Ìrókò.,Igi oṣè,0
"""Ají má pa òùngbẹ́ bí ewé kíni????""",Ewé ewé.,Erinrin,0
"Kíni ""Shin Guard"" ní Yorùbá?",Àṣọ́ ààbò kékeré fún ẹsẹ.,Ojúgun,0
"Àlọ́ oooo
 A fèrìn gba òré wọlé, a fi túlásí tíí bọ̀ síta. Kíni oooo?",Ọ̀jà (Market).,Oúnjẹ òun ìgbọ̀nsẹ̀,0
"Àwọn Yorùbá bọ̀ wón ní ebi ní ń pa mọnámọná kú, kíni mọnámọná? Àti pé kíni ìdí tí a fi máa ń sọ wípé ẹ̀bì á pa kú?","Mọnámọná túmọ̀ sí iyo, kí wọ́n sọ pé ẹ̀bì ní ń pa mọnámọná kú nìyẹn. A máa ń sọ̀rọ̀ yìí láti fìdí rẹ̀ múlẹ̀ pé kò sí ẹ̀dá kankan tí kò ní fojú tí ẹ̀bì máa gbé.",Ejò,0
"Kíni ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""Kọ̀wọ́ bọ ẹérú""?","Ó túmọ̀ sí ""Fẹ́sẹ̀̀ jẹ ẹrù.""",Olè(Thief),0
"Kíni ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""ìlérò"" tàbí ""wọlé ìlérò""?","""Ìlérò"" túmọ̀ sí ""consideration"" tàbí ""reflection"" nínú èdè Gẹ̀ẹ́sì. ""Wọlé ìlérò"" tún kan ìfìwéra tàbí àkíyèsí àwọn nnkan.",Ibi tí ọba máa ń wà kí wón tó lọ sí ìpèbí,0
"Parí òwe Yorùbá yìí
 ""Òlè tó jí kákàkí ọba..........""",""".....ẹsẹ̀ ikú ni o maa rán an.""",Ówá ku ibi tí yíò ti fọn,0
Kíni ìyàtọ̀ láàrin amòfin àti agbófinró?,"Amòfin ni ẹni tó mọ̀ ìlànà àti òfin, tí ó sì lè ṣàbójútó ẹjọ́ nínú ilé-ẹjọ́; agbófinró ni ẹni tó mú ilọ́wọ́ òfin dájú, tí ó sì ń mú àwọn tó ṣẹ òfin.","Amòfin - Ẹni tí ó mọ òfin (Lawyer, Judge)
 Agbófinró - Ọlọ́ọ̀pá",0
"Kíni ọ̀rọ̀ Yorùbá fún ""fork""?",Òbè.,Àmúga,0
"Àwọn wo ni Yorùbá n pè ní ""alájápá""?","""Alájápá"" ni Yorùbá n pè ní àwọn tí wọ́n máa ń fi àjápá ṣe àbọ̀n.",Oníṣòwò,0
"""Kíni àwọn Yorùbá n pè ní 'orún'?""","Àwọn Yorùbá n pè ní ""orún"" ni ""ọpọlọ.""",Igi ọfà,0
"Ṣàlàyé ọ̀rọ̀ Yorùbá yìí ""èrèfé.""","""Èrèfé"" túmọ̀ sí ìwọ̀nba owó.",Ọ̀rọ̀ tí a sọ lórí ahọ́n lásán,0
"""Ewé wo ni Yorùbá n pè ní 'ojú oró'? Níbo lati ń rí?""","Yorùbá n pè ""ojú oró"" ní ewé títí, a ó rí lórí àwọn títí àti ibi afara.",Orí omi,0
"""Kíni 'biased' ní Yorùbá?""","""Ìwà lọ́ọ́dá"" tàbí ""Ẹ̀ṣọ́nu.""",Òróǹro,0
"""Kíni ọ̀rọ̀ Yorùbá fún 'bile'?""","""Èèmú"" ni ọ̀rọ̀ Yorùbá fún 'bile'.",Ojúṣàájú,0
"""Dárúkọ ìwé ìròyìn tí ó kọ́kọ́ jáde ní èdè Yorùbá.""","""Wàándé Abímbọ́lá.""",Ìwé ìròyín fún àwọn Ẹ̀gbá àtí Yorùbá ní 1859,0
"Àrokò jẹ́ ọ̀nà tí a fi ránṣẹ́ sí ènìyàn míràn, tí ìtumọ̀ rẹ̀ jẹ́ àsírí láàrin ẹni tí o paá àti ẹni tí a fi ránṣẹ́ sí.
 Tí wọ́n bá fi ""eso igi"" ránṣẹ́ sí ènìyàn, kí ló túmọ̀ sí?","Tí wọ́n bá fi ""eso igi"" ránṣẹ́ sí ènìyàn, ìtùmọ̀ rẹ̀ ni ìkíni ọdún tuntun.",Ààrùn(Sickness),0
"""Àwọn wo ni Yorùbá n pè ní 'agbékútà'?""","Yorùbá n pè aláìfojúrí tàbí aláìbọrò aṣọ ní ""agbékútà.""",Ọmọ jàndùkú,0
"""Ìlú wo ní ilè Yorùbá ni wọ́n ti ń ṣe òdún 'ọlọ́jọ́'?""",Ilé-Ifẹ̀.,Ilé-ifẹ̀,0
"""Kíni Yorùbá n pè ní Aditu.....""",Aṣírí.,Ọrọ tó ta kókó,0
"""Parí òwe yìí: Ebí ń pamí ọlọ́ṣẹ ń kiri ...""","""... ẹnu òkè ḿbẹ lẹ́nu.""","Aó kọ́kọ́ fọ tinú, kí a tó fọ tòde",0
"""Kíni àkọ́lé orúkọ ọba ìlú èdè?""","Ákọ́lé orúkọ ọba ìlú èdè ni ""Ààre"" tàbí ""Alága.""",Tìmí,0
"""A sọ̀rọ̀ kéle b'ojú wo'gbé ...""",Káà fi oju t'ẹni tó wu'gbé.,"Ìgbẹ́ kìi rò, ẹni a bá wí fún ni ń ṣekú pa ni",0
"""Parí òwe yìí: Aní kó mu wá, ó ní kòsí ...""",""" ... amúnimú wà.""",Ahun ni ẹni náà lójú alágbe,0
Who wrote the poem “Ìṣẹ́ lògún Ìṣẹ́” and in what year?,"J.F. Odunjo wrote the poem ""Ìṣẹ́ lògún Ìṣẹ́.""",Bàbá D.F. Ọdúnjọ,0
Igba Iwase,Ìgbà ìwàsẹ̀ jẹ́ àkókò tí ó ti pẹ́ jùlọ tàbí ìgbà àtijọ́.,Ayé Àtíjọ́,0
"""Kíni ọ̀rọ̀ Yorùbá fún 'Barber'?""",Ọ̀túnmọ̀.,Onígbàjámọ̀/Gẹrígẹrí,0
"""Kíni ọ̀rọ̀ Yorùbá fún 'Brass'?""",Ìdè wúrà.,Idẹ,0
"What is the yorùbá word for ""bait"" ?",Ìtànkálẹ̀ or adìyán.,Ìjẹ,0
Àkókò wo ni Yorùbá n pè ní Ìyálẹ́ta?,Àárọ̀.,Ago mọ́kànlá àárọ̀ sí méjìlá ọ̀sán,0
"What is ""gizzard"" in Yorùbá ?",Igunsí.,Iwe,0
"Kíni Yorùbá n pè ní ọjọjọ 
 kíní wọ́n fiì n ṣe?",Yorùbá n pè kékeré ilé èérún tí wọ́n ń fi ọkọ tàbí ọkọ ayókèèré ṣe ìrínàjò ní ọjọjọ.,"Oúnje ilé Yorùbá, Iṣu ewùrà ni a fi ń ṣé",0
"Nínú Eto ẹbí ní ilẹ̀ Yorùbá 
 kíní Yorùbá n pè 
 half siblings from the same father?",Ọmọkùnrìn tàbí ọmọbìnrin ìyàwó.,Obà kan,0
"Parí ọ̀wé yìí 
 Abánimúàdiyẹ a fi orókun bó, 
 bí owó bá ba Adiyẹ.....",o ṣaṣeyọ li ọjọ́ kan.,a ó gbé adìye fún ẹni tó ní,0
"Parí ọ̀wé yìí 
 Tàkúté tí o pa l'áginjú a pé 
 lókò kí wọ́n to gbe wá sí ilé....",Tàkúté.,A pẹ́ lóko kí ó tó wá sílé,0
Iru ọmọ wo ni a n sọ ní òní?,A n sọ ọmọ aláàárìnlá láti Yíndíà.,Ọmọ tí kò sukún nígbà tí a bi,0
"Kini Yorùbá n pè ní ""àpọ́n""","""Àpọ́n"" jẹ́ ẹja títí náà ní Yoruba.",Kóró inú èso òro,0
Oṣù wo ní oṣù òwàrà?,Oṣù Kẹsán (September).,Oṣù kéwàá,0
"Kini ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""Oódẹ""?",Òde.,Olófòófó,0
"Ooni Adeyeye Enitan Ogunwusi (Ọjájá II) ní Ooni ti Ife bayi 
 “kíni orúkọ ọba to jẹ kí wọ́n to jẹ”?",Ọba Ọkùnade Sijuwade.,Aláyélúwa Ọba Okùnádé Ṣíjúwadé Olúbùṣe 2,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Farajìn""","Àkànlò-èdè ""Farajìn"" túmọ̀ sí ""forgive"" tàbí ""pardon.""",Kí ènìyàn fi ara rẹ̀ sílẹ̀ fún nkan bóyá ẹsìn tàbí ìsìn,0
"Àrokò jẹ́ ọ̀nà tí a fi ránṣẹ́ sí ènìyàn míràn tí ìtumọ̀ rẹ̀ jẹ́ asiri láàrín ènìyàn tí o paá àti ènítí a fi ránṣẹ́ sí tí wọ́n bá fi ""owó eyo"" ránṣẹ́ sí ènìyàn Kí ló túmọ̀ sí?",Ó túmọ̀ sí àǹfààní tàbí ìbùkún.,Owó ń bọ̀,0
Ebí ń pa èjò ahun ń yan....,ó ń fí apá ara rẹ̀ bo òun.,Àtahun àtejò ẹran jíje ni,0
"Yato si efon, kini Yoruba n pe mosquito",Ikomo.,Yànmùyánmú,0
"Kíni iyatọ láàrin ""èsìn àti àṣà""?","""Èsìn"" jẹ́ eto ìgbàgbọ́ tàbí ìwàásù nípa ìbáṣepọ̀ pẹ̀lú ẹni tàbí ọ̀ràn àìmí. ""Àṣà"" jẹ́ àwòkọṣe àti ìṣe ojoojúmọ́ tí àwọn ènìyàn nípa ìgbé-ayé wọn.","Àṣà (Ìṣe)
 Ẹ̀sìn(Ọ̀nà láti bọ Elédùmarè)",0
"Parí òwe yìí 
 Tí a kò bá rí owó rà ẹrù...",Aá rà ẹjẹ rà á.,Aó sọ ẹran ẹni lórúko,0
"Kíni Yorùbá n pè ní ""Experience""?","""Ìrírí"" ni Yorùbá n pè ní ""Experience"".",Ìrírí,0
"Kíni Yorùbá n pè ní ""Bachelor""?",Akọ̀wé ayé-ẹyawo.,Àpọ̀n,0
"""Kíni ọ̀rọ̀ Yorùbá fún 'Corncob'?""",Kókòró agbado.,Fùkù,0
Kíni Àwọn yorùbá n pè ní òṣìbàtà?,Àwọn Yorùbá n pè ní òṣìbàtà bí ènìyàn tó ń ṟìn tàbí tó ń ṣèéṣè lọ ní àààyá.,Ewé orí omi,0
"Lò àwọn ọ̀rọ̀ márùn yìí nínú gbólóhùn kan 
 ""patú, panumó, pààrò, pámóra, pa ohun dà""","Mo pátù, mo sì panumó fún ìgbéraga, ìrònú pàǹtarà àti pààrò ti mo se; àga mi sì pamóra mo jẹ́ kí owó pa ohun dà.","Arábìnrin náà patú, o sì panumọ́, ó pààrọ̀ aṣọ, ó pámọ́ra, kòsì pa ohùn dà",0
Kíni ìyàtọ̀ láàrin jígí àti dígí?,"Ìyàtọ̀ láàrin jígí àti dígí ni pé jígí jẹ́ ẹ̀rọ ìrísí tí ó túmọ̀ sí gógó tàbí jígí wàhámónù, nígbà tí dígí jẹ́ ohun tí ó fi òjijì ènìyàn hàn.","jígí(eye glass)
 dígí(mirror)",0
"Kíni ìtumọ̀ àkànlò-èdè yìí ""Sòròṣágbòn""","""Sòròṣágbòn"" túmọ̀ sí ẹni tí ó ń sọ̀rò pẹ̀lú ọgbọ́n tàbí ní ọgbọ́n.",Kí èyàn sòrò fún Olófòófó,0
"Kíni ọ̀rọ̀ Yorùbá fún ""circle""?",Òòrùpá.,Òbìrìkìtí,0
"Àwọn wo ni Yorùbá n pè ní ""Ìwẹ̀fà""?","""Iwẹ̀fà"" ni Yorùbá má n pè àwọn ará tí ìwọ̀n fáàálẹ̀ rí gba sílé wọn láti wá ṣe iṣẹ́ fún wọn ká fàáwà sí.",Àwọn tí wọ́n wà ní àgbàlá ọba tí wọ́n ń tọ́jú àwọn ayaba láyé àtijọ́,0
"Kíni Yorùbá n pè ní ""Ìdàndá?","""Ìdàndá"" nì í ṣe ìfẹ̀ orí.","Mirage
 Ohun tí a ń wó ní ọ̀ọ́kán, tí kìí ṣe òhun",0
"Kíni Yorùbá n pè ní ""transmitter""?","Yorùbá n pè ""transmitter"" ní ""erú-ibánisọ̀rọ̀.""",Alátagbà,0
"Kíni Yorùbá n pè ní ""valley""?","Àwọn Yorùbá n pe ""valley"" ní ""àfonífojì.""","Kíni Yorùbá n pè ní ""valley""?",0
"Parí ọ̀wẹ Yorùbá yìí 
 ""àràkún láṣọ̀ Gbági ..........""","""lẹ́hìn èéfín dàáwọ̀.""",aṣọ làáwọ̀ lọ raṣọ,0
"Níbo ní ilẹ̀ Yorùbá ní ""igbó elẹ́dùmarè"" wà?","""Igbó elẹ́dùmarè"" wà ní ìlú Ọ̀ṣogbo.",Ìpínlẹ̀ Oǹdó(Òkè Igbó),0
"Kíní ìtumọ̀ ọ̀rọ̀ yorùbá yìí ""làìdẹ́ìnà pẹnu""?","Ìtumọ̀ rẹ̀ ni ""bóyá tàbí bí kì í ṣe.""",Láì fi ọ̀pá pọ̀lọ̀pọlọ pejò (in a nutshell),0
kíni ìyàtọ̀ láàárin Adélébò àti Abilékọ?,"Adélébò àti Abilékọ ni oríkì orúkọ. Adélébò túmọ̀ sí ""ọmọbíṣẹ́ ni wá"" àti Abilékọ túmọ̀ sí ""ẹni tó ń ṣiṣẹ́ daada tàbí ilé ọmọ"".","Adélébọ̀: Obìrin tó ti lọ́kọ rí
Abíléko: Obìrin tó wà nílé ọkọ",0
"Ọ̀rẹ́ ńjẹ́ ọ̀rẹ́, ọ̀rà ńjẹ́ ọ̀rà, 
 ẹnikan kìí dúpẹ́ lọ́wọ́ mọ ta ọ̀pọ̀ 
 Kí ni iyato to wa láàrín ọ̀rẹ́ àti ọ̀rà?","Ọ̀rẹ́ pọ̀ mọ́ra tàbí ní ìfẹ́, ìgbàgbọ́ àti ìfẹ́ ayélujára. Ọ̀rà jẹ́ ìbáṣepọ̀ nípa títẹ̀wọ́gbà ìtèlè àti ìṣàfihàn rinlẹ̀.","Ọrẹ(Ohun tí a fún ni ọ̀fẹ́)
 Ọrà(Ohun tí a fowó rà)",0
"Parí òwe Yorùbá yìí, 
 Aṣòróójà bí ìjà ọjà, onítìjú òní sá.........",ìjà.,Ẹni tí wọ́n ń nà ò ní dáwó dúró,0
"Parí òwe yì: 
 Ebí ń pamí olóṣè ń kiri.....",ṣùgbọ́n ohun tí mo rí jù owó lọ.,Àwọn tí wọ́n ń ta iyanrì(sand),0
A kii moogun moote...,latari orogun.,Kí iṣu ewùrà má lémọ,0
"Kíni Yorùbá n pè ""Empowerment""?",Didá Agbara.,Ìrónilágbára,0
"Kíni ""Misconception"" ni Yorùbá?",Ìmọ̀ ìrònú èké.,Àṣìrò,0
"Kíni ""Creative"" ni Yorùbá?",Èlòyemí.,Àtínúdá,0
"Kíni ""Appreciation"" ni Yorùbá?",Ìdúpé.,Ìmọ-ore,0
"Kíní yoruba n pè ní ""àkànnàmàgbò""?","Àkànnàmàgbò ni ""elements"" ní èdè Yorùbá.",Ewéko,0
"Kíní Yorùbá ọ̀rọ̀ yìí ""cheese""?","""Wàárì"" tabi ""wàrà-áso.""",Wàràkàsí,0
"Parí òwe yìí 
 ""Tí ojú bá pón àgàn.......""","""Tí ojú bá pón àgàn, ó nà ni.""",Ó lè dá àbá àbíkú,0
"Kíní Yorùbá ọ̀rọ̀ yìí """"baboon""""?",Bàbóònì náà ni.,Ìlábùrù,0
"Parí òwe Yorùbá yìí 
 ""Ohun tí n wuni ni n pò lórò eni..........""",""".....tí kò n wuni ni n pò lorò elòmíràn.""","Ológún ẹrú kú, aṣọ ẹ̀ jẹ́ ìkan",0
Irú Ìyàwó wo ni Yorùbá ń pè ní Ìyàwó àbètélẹ,Ìyàwó àbètẹ́lẹ̀ ni obìnrin tí ọkọ fi nílé bí ìyàwó ṣùgbọ́n tí ilé mọ̀kàndáà ni obìnrin náà fi ń gbé láìsí ìtìlẹ̀yìn àgbàlagbà tàbí ìgbéyàwó gẹẹsì.,Ìyàwó tí a tọrọ ní áti kékeré,0
"Kíni Yorùbá n pè ""Egòn""?",Egòn nì í ṣe ẹṣin.,Igbó kìjikìji,0
"Parí òwe Yorùbá yìí 
 ""Ìyà méjì kìí jẹ òkóbó""","""Ó kan itanilẹ́yìn.""","tí ò bá lókó, á lóko(farm)",0
"Àwọn wo ni Yorùbá n pè ní ""arota""","""Árótà"" ni a máa ń pè èyíkéyìí ènìyàn tó ń sọ̀rò dídá.",Ẹrú,0
"Kíni Yorùbá n pè ní ""Ìkìsà"" ?","Yorùbá n pè ""Chest"" ní ""Ìkìsà.""",Àgbọ̀nrín,0
"Kíni Yorùbá n pè ní ""àrándùn""?","Yorùbá n pè ""àrándùn"" ní ìròyìn tàbí ìhìn tó dùn, tí ó n fi ayò bọlé.",Àsodùn,0
"Kíni Yorùbá n pè ní ""Kokonboju""?","Yorùbá n pè ""one-eyed"" ní ""kokonboju"".",Ilà kíkọ tí a kò lè fi dá ènìyàn mò,0
"Níbo ní ilẹ̀ yorùbá ní ""adágún odò orí àpáta"" wà?","""Adágún odò orí àpáta"" wà ní Abẹ́òkúta.",Àdó-Àwàyè,0
"Kí ni Yorùbá n pe ""Flask""?","Yorùbá n pe ""Flask"" ní ""Ago gilasi"" tàbí ""Igo gbigbona.""",Ṣágó,0
"Àwọn wo ni Yorùbá n pè ní ""alákàtànpọ̀""","Yorùbá ń pè àwọn tí wọ́n bá mọ̀ ẹ̀rọ tí wọ́n sì ní ọgbọ́n iṣẹ́ ní ""alákàtànpọ̀.""",Àwọn tafàtafà,0
"Kíni ọ̀rọ̀ Yorùbá fún ""Spinster""?",Ọ̀mọ̀bìnrin ìdokó.,Omidan,0
"Tí Yorùbá bá pe obìnrin ní ""ajáìdí apèrè"" kí ló túmọ̀ sí?","Tó jẹ́ pé obìnrin náà ti yíyàtà oríṣiríṣi èèyàn àti pé àwọn oúnjẹ tàbí ohun tí wọ́n fọkànjù í mú ọpọlọpọ èèyàn padà sí, ó sí ń jiyàn, tí kò sì ní ẹni tí ó fìjìrì í dá.",Obìnrin tó ń ṣèṣekúṣe,0
Kíni ọ̀rọ̀ Yorùbá fún 'Savannah'?,Ọ̀fààrí.,Ọ̀dàn,0
"Kíni Yorùbá n pè ní ""òkùdù""
 ""wón ní òkùdù tó pa ẹṣin lè pa ènìyàn""","Yorùbá n pè ""òkùdù"" ní ""snakebite"".",Kòtò àgbẹ́kù,0
"Parí òwe Yorùbá yìí 
 ""àgbà tí ó bá fi arúgbó ara kọ ìlú""","""ó ń fi irù èèyàn ṣònù.""",Ọ̀mẹ́lẹ́ ni wọ́n máa ń sán kú,0
"Kíní òrò Yorùbá fún ""Camwood""?",Òsùn.,Osùn,0
"Kíni Yorùbá n pè ní ""èkùró""?",Èkùró ni Yorùbá n pè àmàlà.,Kòkòrò ẹ̀wà,0
"Kíní ìtumọ̀ ọ̀rọ̀ Yorùbá yìí ""Láì Déèna pẹnu""?","Ó túmọ̀ sí ""Without stop talking"" lori gbogbo nǹkan bíi láìbáwọ́n bí o ṣe ń sọrọ̀.",Láì fi òpá pọ̀lọ̀pọlọ pejò (in a nutshell),0
"Yorùbá máa ń pa èdè kan wípé agbe ní n gbé ire pàdé olókun, kínì ""agbe""?","Agbe tumọ si ẹyẹ kan tí a máa ń rí ní ẹkùn ilẹ̀ Yorùbá, tí wọ́n ń pè ní Parrot ní èdè Gẹ̀ẹ́sì.",Ẹyẹ,0
"Kíní orúkọ míràn tí Yorùbá n pe ""kókó inú ìyán""?","Orúkọ míràn tí Yorùbá n pe ""kókó inú ìyán"" ni ""orógbó"".",Emọ,0
"Ọmọ aládìye ògògòmògà, ìlú wo ni wọ́n ma n kí oríkì wọn bẹ́ẹ̀?",Iléṣà.,Ìjèbú,0
"Àwọn wo ni Yorùbá n pè ní ""aláàgbédá""?","Yorùbá n pè àwọn tó n ṣe iṣẹ àgbékálá àwòrán tàbí ohun èlò ní ""aláàgbédá"".",Oníjìbìtì,0
"Kini Yorùbá n pè ní ""Aga""?dodo","Yorùbá n pè ""Chair"" ní ""Àga"".",Caution sign,0
"Àlò oooo
 'Ìyá rúgúdú pọ̀nmi sínú, ó wọ̀ ẹ̀wù irin'
 kíni oooo??",Àpèrẹ àwọn ṣè bí àti ẹ̀ṣọ.,Èkùrọ́,0
"Kini Yorùbá n pè ní ""Akéte""?","Yorùbá n pè ""Cap"" ní ""Akéte.""",Ibùsùn,0
Kíni ṣe èyọ̀ túnmọ̀ sí ní èdè Yorùbá?,Èyọ̀ túmọ̀ sí owó tó jẹ́ ìwọ̀n kan.,Kí èyàn lọ tọ̀,0
Kíni 'law enforcer' ní Yorùbá,Olùlámùlà òfin.,Agbófinró,0
