15,"Màá fún ẹ ní ẹ̀gbàá kì í jẹ́ kí ẹ̀gbàá níyì, ẹ̀gbèrún, mélòó lọ wà ní ""ẹgbàfà""?",Mẹ́fà,mc,Mẹ́rìndínlógún,Mẹ́dọ́gbọ̀n,Mẹ́rin,Mẹ́fà,Mọ́kànlá
16,"Kíni ìtumọ̀ òwe Yorùbá yìí ""ààlà ni yóò fi oko òlẹ hàn""?","Ààlà ló máa fi hàn pẹ́, ọ̀le ló ń ṣe iṣẹ́ oko yí",mc,Ààlà kì í ṣe dandan,Ààlà kò ṣe pàtàkì rárá,"Ààlà ló máa fi hàn pẹ́, ọ̀le ló ń ṣe iṣẹ́ oko yí",Gbogbo oko nílò ààlà,Ààlà ni a fi mọ ẹni tí ò fẹ́ sinmi
17,"Tí Yorùbá bá sọ pé ènìyàn n ""run ìlèpa,"" kínì ìtumọ̀ àkànlò-èdè yìí?",Iyẹ̀pẹ̀ tó kẹ́hìn iyẹ̀pẹ̀,mc,Iyẹ̀pẹ̀ tó kẹ́hìn iyẹ̀pẹ̀,Ẹnìkan tí ó ti ṣèbàjẹ́ patapata,Ẹni tí ó ti bọ sinu iparun,Eni tí ó ti sọnù kúrò lójú ọ̀nà àseyọrí,Ẹni tó fi adìẹ ṣọ́ àgùntàn
19,Irú ìyàwó wo ni Yorùbá ń pè ní ìyàwó àbètẹ́lẹ̀?,Ìyàwó tí a tọrọ láti kékeré,mc,Ìyàwó tí ò mọ iye ọjọ́ tí wọ́n yóò gbé e lọ,Ìyàwó tí a tọrọ láti kékeré,Ìyàwó tí wọ́n fi ṣ’àdéhùn,Ìyàwó tí ò mọ ìlú ọkọ tó ń lọ,Ìyàwó tí kò mọ ibi tí àwọn ọkọ rẹ̀ ń sùn
20,"Ewe kan wà tí àwọn ara ilẹ̀ ìlà oòrùn ń pè ní ""ugwu,"" kínì orúkọ tí Yorùbá ń pè é?",Ewé Ìròko,mc,Ewé Ọ̀gẹ̀dẹ̀,Ewé Ìròko,Èwé Àràbà,Èwé Dògòyàrò,Èwé ewédú
22,"Parí òwe Yorùbá yìí
""Gbogbo àkàsù kọ́ ló ń fojú kan ẹ̀fọ́ .....""","Gbogbo ọmọ olóyè kọ́ ló ń joyè, gbgobo ọmọ ọba kọ́ ló ń dádé",proverbs,Gbogbo ọmọ ewúré kọ́ ló máa d’àgbò,Gbogbo aṣọ funfun kọ́ ló ń tán,"Gbogbo ọmọ olóyè kọ́ ló ń joyè, gbgobo ọmọ ọba kọ́ ló ń dádé",Gbogbo igi kọ́ ló ń gbé èso.,àwọn kan fojú kan ìlà
23,"Ìgbà làákòkò, igi làákòkò yàtọ̀ sí ìlú. Kíni Yorùbá n pè ní àkòkò?",Ẹyẹ,mc,Ẹyẹ,Òní,Àsìkò,Ìlú,Ẹja
25,"Kíni Yorùbá ń pè ní ""òkùdù""?
 ""Wọ́n ní òkùdù tó pa ẹṣin lè pa ènìyàn.""",Kòtò tí a ti patì,mc,Òkè tó ṣub,Kòtò tí a ti patì,Gbọ̀ǹgbò igi tó já,Àpáta tó wó,Ọ̀nà tí kò ní àbájáde
26,"Kíni ọ̀rọ̀ Yorùbá fún ""accused"" àti ""suspect""?","Accused - Afẹ̀sùnkàn
 Suspect – Afurasí",mc,"Alájọ̀bi
Olùfura","Oníbàjẹ́ 
Oníwà àríwísí","Afẹ̀sùnkàn
Afurasí","Olùjẹ́jọ́
Elétàn","Oníṣe burúkú
Aláṣejù"
28,"Kíni ""court of appeal"" ní Yorùbá?",Ilé-ẹjọ́ kòtémilọ́rùn,mc,Ilé-ẹjọ́ kòtémilọ́rùn,Ilé-ẹjọ́ Ìtunwí,Ilé-ẹjọ́ Ìtẹ̀síwájú Ìdájọ́,Ilé-ẹjọ́ Ẹ̀bẹ̀,Ilé-ẹjọ́ aríyá
30,"Tí ""reason"" bá jẹ́ ìdí ní èdè Yorùbá, kíni ""purpose""?",Èrèdí,mc,Ìpinnu,Ìdípatàkì,Èrèdí,Ìmọ̀ràn,Ọ̀nà 
31,"Kíni Yorùbá ń pè ní ""calendar""?",Kọ́jọ́dá,mc,Ìṣirò ọjọ́,Àtòjọ ọjọ́,Kọ́jọ́dá,Àkànṣe ọdún,Ìwé ọjọ́
32,"Ibo ni àwọn Yorùbá máa ń pè ní ""ìlofi""?",Ibi tí ọba máa ń wà kí wọ́n tó lọ sí ìpèbí,mc,Ìsìnkú Ìlú,Ibi Ìrántí Ọba,Ibi tí ọba máa ń wà kí wọ́n tó lọ sí ìpèbí,Ibi Ìsìmi Ọba,Ilé ìtàjá àwọn obìnrin
33,"Àlọ́ oooo
 Óún sàìjó, ó ń fúnú ta, óún fẹ̀yìn ta, óún fọwọ́ ta. Kíni oooo?",Aláǹtakùn,mc,Afẹ́fẹ́,Òwú,Aláǹtakùn,Òpá àṣẹ,Àgùtàn
34,"Kíni Yorùbá n pè ní ""ìrèmòjé""?",Orin tí a máa fi ń dárò ọdẹ,mc,Orin ìbànújẹ́,Orin tí a máa fi ń dárò ọdẹ,Orin Ìdàgbére,Orin àbáláyé,Ìkìlọ̀ fún eranko
36,"Parí òwe Yorùbá yìí:
 ""Bí ọwọ́ eku bá ṣe mọ́ ..........""",...ló ṣẹ fi ń họra,proverbs,ìjà ni yóò ṣẹlẹ̀,ló ṣe máa fi sáré,ló ṣẹ fi ń họra,owó ló máa pé,..ló ṣe ń fi bọ aṣọ
37,Kíni ìyàtọ̀ láàrin àáró àti àgàdàgídì?,"Àáró - Ìfọ́wọ́sowọ́pọ̀
 Àgàdàgídì - Ọtí tí a fi ọ̀gẹ̀dẹ̀ àgbagbà ṣe",mc,"Àáró – Ọkọ̀ ojú omi tó ń lọ sí ìlú oyinbo
Àgàdàgídì – Ẹja tó ń gbé inú odò tó jin","Àáró – Igi tó ń so èso
Àgàdàgídì – Ẹranko inú igbó","Àáró – Owó tí wọ́n ń ná ní ọjà 
Àgàdàgídì – Gbọ́ngàn ńlá fún ìpàdé","Àáró – Àṣà tí àwon obìnrin ń ṣe ní ilé ọkọ
Àgàdàgídì – Ọmọ ọdún mẹ́ta tó ti bẹ̀rẹ̀ sí i sáré","Àáró - Ìfọ́wọ́sowọ́pọ̀
Àgàdàgídì - Ọtí tí a fi ọ̀gẹ̀dẹ̀ àgbagbà ṣe"
38,"Kíni Yorùbá ń pè ní ""ọ̀wẹ̀""?",Òkèlè,mc,Ìkòkò,Ejò,Ọkà,Òkèlè,Ìmọ̀ràn
39,"Parí òwe yìí
 ""Òní òkété lẹ́yìn àrọ̀, ọ̀la òkété lẹ́yìn àrọ̀ .....""","...bí ojú ò bá ti àrò, ó yẹ kí ojú ó ti òkété",proverbs,ṣùgbọ́n ẹni tó bá fi ọgbọn ṣe ni yóò rí èsì,"ẹni tó gbàgbé ẹ̀kọ́ rẹ, kọ́ lówó ní ayè",àfi ẹni tó ba fi àdúrà ṣe,"bí ojú ò bá ti àrò, ó yẹ kí ojú ó ti òkété","...jẹ́ ká fi ọ̀sán jẹun, ká fi alẹ́ sùn"
40,Fi idi pa igba,"Ẹni tó jókòó síbẹ̀, tí ó kọ̀ látì lọ",proverbs,"Ẹni tó jókòó síbẹ̀, tí ó kọ̀ látì lọ",Ẹni tó ko ara rẹ̀ sí ìrònú,Ẹni tí ó kó ara rẹ̀ sínú wàhálà,Ẹni tó fẹ̀yìn ti àgbá,Ẹni tó ń bu omi si orí àjà
41,"Kíni Yorùbá n pè ní ""Adam Apple""?",Gògóńgò,mc,Òkè ọ̀fun,Ọ̀fun gígun,Gògóńgò,Èso Àdámù,Ìlà ọ̀run
42,"Kíni ""Baobab tree"" ní Yorùbá?",Igi oṣè,mc,Igi Àràbà,Igi Ìrókò,Igi oṣè,Igi Àgbọn,Igi òro
43,"""Ají má pa òùngbẹ́ bí ewé kíni????""",Erinrin,mc,ewúro,Erinrin,tẹ̀tẹ̀,àlùbósà,Ewúro
44,"Kíni ""Shin Guard"" ní Yorùbá?",Ojúgun,mc,Èwù ẹsẹ̀,Orókún,Bàtà,Ojúgun,Àtẹlẹ̀sẹ̀
45,"Àlọ́ oooo
 A fèrìn gba òré wọlé, a fi túlásí tíí bọ̀ síta. Kíni oooo?",Oúnjẹ òun ìgbọ̀nsẹ̀,mc,Bàtà,Àṣọ,Oúnjẹ òun ìgbọ̀nsẹ̀,òwú fúnfun ,Ìfẹ́
46,"Àwọn Yorùbá bọ̀ wón ní ebi ní ń pa mọnámọná kú, kíni mọnámọná? Àti pé kíni ìdí tí a fi máa ń sọ wípé ẹ̀bì á pa kú?",Ejò,mc,Aláńgbà,Ejò,Ẹfọ̀n,àkekèé,Adìẹ
47,"Kíni ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""Kọ̀wọ́ bọ ẹérú""?",Olè(Thief),mc,Ìṣekúṣe,Ẹ̀tàn,Èké,Olè,Ìbànújẹ
48,"Kíni ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""ìlérò"" tàbí ""wọlé ìlérò""?",Ibi tí ọba máa ń wà kí wón tó lọ sí ìpèbí,mc,Ìbùgbé Ìbùkún Ọba,Ibi tí ọba máa ń wà kí wón tó lọ sí ìpèbí,Ilé Ìtajà Ọba,Ilé-ẹ̀kọ́ Ọba,Ilé tí a ti n gbọ́ ìròyìn
49,"Parí òwe Yorùbá yìí
 ""Òlè tó jí kákàkí ọba..........""",Ówá ku ibi tí yíò ti fọn,proverbs,Ti bọ́sí wàhálà,kì yóò le fi hàn ní gbangba,yóò mọ̀ pé ìjà ìlú kì í tán,Ówá ku ibi tí yíò ti fọn,ló fi í kọ orin ni gbàgede
50,Kíni ìyàtọ̀ láàrin amòfin àti agbófinró?,"Amòfin - Ẹni tí ó mọ òfin (Lawyer, Judge)
Agbófinró - Ọlọ́ọ̀pá",mc,"Amòfin – Ẹni tó ń kọ òfin tuntun.
Agbófinró – Ẹni tó ń ṣe ohun tí kò tọ́ ","Amòfin – Ẹni tó mọ gbogbo òfin lórí irọ̀. 
Agbófinró – Ẹni tó mọ gbogbo òfin lórí ijà","Amòfin - Ẹni tí ó mọ òfin 
 Agbófinró - Ọlọ́ọ̀pá","Amòfin – Ẹni tó le fi òfin gba ilẹ̀
Agbófinró – Ẹni tó ń fi òfin dá ilékun","Amòfin – Ẹni tó ń ta ilẹ̀ 
Agbófinró – Ẹni tó ń ra ilẹ̀"
51,"Kíni ọ̀rọ̀ Yorùbá fún ""fork""?",Àmúga,mc,Ọ̀bẹ́,Àmúga,Dìgbòlugi,Ìkarahun,Ọ̀bẹ tó ní ìka
52,"Àwọn wo ni Yorùbá n pè ní ""alájápá""?",Oníṣòwò,mc,Oníṣòwò,Èni tí ó mọ gbogbo nǹkan,Onílé tí kò ní ilé,Ẹni tó ní Ìjàpá,Oníjàgídíjàgan
54,"""Kíni àwọn Yorùbá n pè ní 'orún'?""",Igi ọfà,mc,Àpò ìrèké,Ògùrọ̀,Igi ọfà,Ògiri ilé,Ewé Àgbálùmọ̀
55,"Ṣàlàyé ọ̀rọ̀ Yorùbá yìí ""èrèfé.""",Ọ̀rọ̀ tí a sọ lórí ahọ́n lásán,mc,Àṣírí ọ̀rọ̀,Àròyé ọ̀rọ̀,Ọ̀rọ̀ tí a sọ lórí ahọ́n lásán,Ìyá tí kò bí ọmọ,Ọjà tí kò ní èrè
56,"""Ewé wo ni Yorùbá n pè ní 'ojú oró'? Níbo lati ń rí?""",Orí omi,mc,Ní orí ènìyàn,Ní inú ikoko,Orí omi,Ní inú igbá ata,Ní inú igbó
57,"""Kíni 'biased' ní Yorùbá?""",Ojúṣàájú,mc,Ojúṣàájú,Ìdààmú-ọkàn,Àdììtú,Ìpinnu,Alábòsí
58,"""Kíni ọ̀rọ̀ Yorùbá fún 'bile'?""",Òróǹro,mc,Omi inu ẹ̀dọ̀,Ìbàjẹ́ inu,Omi ẹ̀fọ́,Òróǹro,Ẹ̀jẹ̀
59,"""Dárúkọ ìwé ìròyìn tí ó kọ́kọ́ jáde ní èdè Yorùbá.""",Ìwé ìròyín fún àwọn Ẹ̀gbá àtí Yorùbá ní 1859,mc,Aláròyé,Atọ́ka,Ìwé ìròyín fún àwọn Ẹ̀gbá àtí Yorùbá ní 1859,Akéde Èkó,Ìwé Ìròyìn Ọ̀yọ́ àti Ìbàdàn (1865)
60,"Àrokò jẹ́ ọ̀nà tí a fi ránṣẹ́ sí ènìyàn míràn, tí ìtumọ̀ rẹ̀ jẹ́ àsírí láàrin ẹni tí o paá àti ẹni tí a fi ránṣẹ́ sí.
 Tí wọ́n bá fi ""eso igi"" ránṣẹ́ sí ènìyàn, kí ló túmọ̀ sí?",Ààrùn(Sickness),mc,Oúnjẹ ń bọ̀,Ààrùn,Àlàáfíà ni,Owó ń bọ̀,Ìfẹ́
61,"""Àwọn wo ni Yorùbá n pè ní 'agbékútà'?""",Ọmọ jàndùkú,mc,Àwọn tó ń kó ilé pẹ̀lú òkúta,Àwọn tó ń ta òkúta,Àwọn tó ń jẹ òkúta,Ọmọ olókùta,Ọmọ jàndùkú
62,"""Ìlú wo ní ilè Yorùbá ni wọ́n ti ń ṣe òdún 'ọlọ́jọ́'?""",Ilé-ifẹ̀,mc,Ilé-ifẹ̀,Ìlọrin ,Ìkìrun,Àkúrẹ́,Ìkẹjà
63,"""Kíni Yorùbá n pè ní Aditu.....""",Ọrọ tó ta kókó,mc,Ọrọ tó ta kókó,Ojú tí kò gbọ́n,Àdàbà tó sùn pẹ̀lú ẹyẹ,Àkùkọ tí kò kígbe,Ohun tí kò rọrùn
64,"""Parí òwe yìí: Ebí ń pamí ọlọ́ṣẹ ń kiri ...""","Aó kọ́kọ́ fọ tinú, kí a tó fọ tòde",,Ṣùgbọ́n òúnjẹ ò sí lọ́wọ́ mi,"Aó kọ́kọ́ fọ tinú, kí a tó fọ tòde",Ó yà mi lẹ́nu bí mo ṣe ń sùn,Àmi àbùkù ni,Ṣùgbọ́n mo mọ ibi tí wọ́n ti ń ta àmàlà
65,"""Kíni àkọ́lé orúkọ ọba ìlú èdè?""",Tìmí,,Alaáfin,Tìmí,Olúbàdàn,O̩wá Obòkun,Olóṣùpá
66,"""A sọ̀rọ̀ kéle b'ojú wo'gbé ...""","Ìgbẹ́ kìi rò, ẹni a bá wí fún ni ń ṣekú pa ni",,"Ẹnu kò gbọ̀n, ọwọ́ ló mọyà","Bí a bá wí fún ọdẹ, ọdẹ ló ye","Àjòjí ní ń gbọ̀, ara ilé ní ń ṣàlàyé","Ìgbẹ́ kìi rò, ẹni a bá wí fún ni ń ṣekú pa ni","Òun t’ó ju òun rí, òun ò ṣọ̀"
67,"""Parí òwe yìí: Aní kó mu wá, ó ní kòsí ...""",Ahun ni ẹni náà lójú alágbe,,wọ́n ní kò sí omi nínú òkun,wọ́n ní kò sí iṣu nínú ẹ̀bà.,ahun ni ẹni náà lójú alágbe,wọ́n ní kò sí oúnjẹ nínú ilé aláwàdà,wọ́n ní kò sí agbára nínú ẹsẹ̀
68,Who wrote the poem “Ìṣẹ́ lògún Ìṣẹ́” and in what year?,Bàbá D.F. Ọdúnjọ,,Bàbá D.F. Ọdúnjọ,Sàngó Olúkòso,Àlàbí Òrìṣàbí,Dr. Kòfó Òdùṣọ́lá,Adébáyọ̀ Òkèwándé
69,Igba Iwase,Ayé Àtíjọ́,,Ìgbà tí ẹyẹ ń sin ẹja,Ayé Àtíjọ́,Ìgbà tí irun kì í dàgbà lórí,Ìgbà tí ilẹ̀ kì í gbóná,Ìgbà tí adìẹ kì í fò 
70,"""Kíni ọ̀rọ̀ Yorùbá fún 'Barber'?""",Onígbàjámọ̀/Gẹrígẹrí,,Aláṣejù,Onígbàjámọ̀/Gẹrígẹrí,Onídìrí,Agẹrun,Adárunsí
71,"""Kíni ọ̀rọ̀ Yorùbá fún 'Brass'?""",Idẹ,,Ẹ̀rọ,Ọ̀bẹ,Kọ̀kọ̀rọ̀,Idẹ,Góólù
72,"What is the yorùbá word for ""bait"" ?",Ìjẹ,,Ọkùnrin,Ẹran,Ìjẹ,Omi,Ṣúkù
73,Àkókò wo ni Yorùbá n pè ní Ìyálẹ́ta?,Ago mọ́kànlá àárọ̀ sí méjìlá ọ̀sán,,Ìyàwó ọ̀sán,Ọ̀sán tuntun,Ìyàwó ọ̀sán,Ìsàlẹ̀ ọ̀sán ,Ago mọ́kànlá àárọ̀ sí méjìlá ọ̀sán
74,"What is ""gizzard"" in Yorùbá ?",Iwe,,Ẹsẹ àdíyẹ,Iwe,Iṣan àdíyẹ,Ẹyin àdíyẹ,Ìdí àdíyẹ
75,"Kíni Yorùbá n pè ní ọjọjọ 
 kíní wọ́n fiì n ṣe?","Oúnje ilé Yorùbá, Iṣu ewùrà ni a fi ń ṣé",,"Ounjẹ ilẹ̀ Yoruba, Agbado ni a fi ń ṣe","Oúnje ilé Yorùbá, Iṣu ewùrà ni a fi ń ṣé","Ounjẹ ilẹ̀ Yoruba, Èpo pupa ni a fi ń ṣe","Ounjẹ ilẹ̀ Yoruba, Iresi ni a fi ń ṣe","Ounjẹ ilẹ̀ Yoruba, Eba ni a fi ń ṣe"
76,"Nínú Eto ẹbí ní ilẹ̀ Yorùbá 
 kíní Yorùbá n pè 
 half siblings from the same father?",Obà kan,,Ọmọ ọba,Ọbà kan,Ọmọ ajé,Ẹ̀jẹ̀,Ọmọ ìbàdàn
77,"Parí ọ̀wé yìí 
 Abánimúàdiyẹ a fi orókun bó, 
 bí owó bá ba Adiyẹ.....",a ó gbé adìye fún ẹni tó ní,,a ó gbé adìye fún ẹni tó ní,A ó fi òpó fun ẹni tó ní iṣẹ́,A ó fi ẹran fun ẹni tó fẹ́ jẹun,A ó fi ìmọ̀ràn fún ẹni tó ti kọ́ ẹ̀kọ́,A ó fi ẹyẹ fún ẹni tó fẹ́
78,"Parí ọ̀wé yìí 
 Tàkúté tí o pa l'áginjú a pé 
 lókò kí wọ́n to gbe wá sí ilé....",A pẹ́ lóko kí ó tó wá sílé,,A pẹ́ ní ìlú kí wọ́n tó gbe wá sí ilé,A pẹ́ ní abule kí wọ́n tó gbe wá sí ilé,A pẹ́ ní tẹlifiṣọ́nnú kí wọ́n tó gbe wá sí ilé,A pẹ́ ní báǹkì kí wọ́n tó gbe wá sí ilé,A pẹ́ lóko kí ó tó wá sílé
79,Iru ọmọ wo ni a n sọ ní òní?,Ọmọ tí kò sukún nígbà tí a bi,,Ọmọ tí ó kọrin,Ọmọ tí ó níyì,Ọmọ tí ó ń ṣiṣẹ́,Ọmọ tí kò sukún nígbà tí a bi,Ọmọ tí kò le sùn
80,"Kini Yorùbá n pè ní ""àpọ́n""",Kóró inú èso òro,,Ọ̀pá,Ìtọ́jú,Ọ́fíìsì,Kóró inú èso òro,Owó
82,Oṣù wo ní oṣù òwàrà?,Oṣù kéwàá,,Oṣù karùn-ún,Oṣù kẹ́wàá,Oṣù kẹrin,Oṣù kéjì,Oṣù kẹ́fà
83,"Kini ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""Oódẹ""?",Olófòófó,,Olófòófó,Ọ̀dọ́,Ẹran,Ìtàn,Olóṣèlú
84,"Ooni Adeyeye Enitan Ogunwusi (Ọjájá II) ní Ooni ti Ife bayi 
 “kíni orúkọ ọba to jẹ kí wọ́n to jẹ”?",Aláyélúwa Ọba Okùnádé Ṣíjúwadé Olúbùṣe 2,,Ọba Ẹlẹ́dá,Ọba Ayé,Aláyélúwa Ọba Okùnádé Ṣíjúwadé Olúbùṣe 2,Ọba ìbèjì,Ọba Olú
85,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Farajìn""",Kí ènìyàn fi ara rẹ̀ sílẹ̀ fún nkan bóyá ẹsìn tàbí ìsìn,,Kí ènìyàn fi etí rẹ̀ gbọ́ àwọn àlàyé,Kí ènìyàn fi ara rẹ̀ sílẹ̀ fún nkan bóyá ẹsìn tàbí ìsìn,Kí ènìyàn fi ọwọ́ rẹ̀ fọwọ́sowọ́pọ̀,Kí ènìyàn fi ìmọ̀lára rẹ̀ tan káàkiri fún nkan tí kò ní fi ọpọlọ hàn,Kí ènìyàn fi ìfọ̀rọ̀wánilẹ́nuwò hàn fún ohun tí kò ní ṣe
86,"Àrokò jẹ́ ọ̀nà tí a fi ránṣẹ́ sí ènìyàn míràn tí ìtumọ̀ rẹ̀ jẹ́ asiri láàrín ènìyàn tí o paá àti ènítí a fi ránṣẹ́ sí tí wọ́n bá fi ""owó eyo"" ránṣẹ́ sí ènìyàn Kí ló túmọ̀ sí?",Owó ń bọ̀,,Owo tó pọ̀,Owó ń bọ̀,Owó àsírí,Iṣẹ́ ń bọ̀,Afẹ́fẹ́ ń bọ̀
87,Ebí ń pa èjò ahun ń yan....,Àtahun àtejò ẹran jíje ni,,Àtahùn àtejọ̀ ẹran tó ń gbóná ni,Àtahun àtejò ẹran jíje ni,Àtahùn àtejọ̀ ẹran tuntun ni,Àtahùn àtejọ̀ ẹran tí kò ní yàtọ̀ ni,Àtahùn àtejọ̀ ẹran tó tutù ni
88,"Yato si efon, kini Yoruba n pe mosquito",Yànmùyánmú,,Gànmùgànmù,Ajá-ilé,Yànmùyánmú,Eku-igi,Ojúiná
89,"Kíni iyatọ láàrin ""èsìn àti àṣà""?","Àṣà (Ìṣe)
 Ẹ̀sìn(Ọ̀nà láti bọ Elédùmarè)",,Àṣà (Ìbáṣepọ̀) – Èsìn (Ọ̀nà láti tọ́jú ayé),Àṣà (Ìtàn) – Èsìn (Ọ̀nà láti fọwọ́ kàn ìmọ̀),Àṣà (Ìṣe) - Ẹ̀sìn(Ọ̀nà láti bọ Elédùmarè),Àṣà (Ìfẹ́) – Èsìn (Ọ̀nà láti gbé ìjọsìn),Àṣà (Ìṣe) – Èsìn (Ọ̀nà láti gbàdúrà)
90,"Parí òwe yìí 
 Tí a kò bá rí owó rà ẹrù...",Aó sọ ẹran ẹni lórúko,,A pé oúnjẹ ènì lórúko,A pé ọkọ ènì lórúko,Aó sọ ẹran ẹni lórúko,A pé ọ̀rẹ́ ènì lórúko,A pé ọdẹ ènì lórúko
91,"Kíni Yorùbá n pè ní ""Experience""?",Ìrírí,,Ìrántí,Ìfọ̀rọ̀wánilẹ́nuwò,Ìfihàn,Ìrírí,Ìròyìn
92,"Kíni Yorùbá n pè ní ""Bachelor""?",Àpọ̀n,,Àìmoore,Àpọ̀n,Olófòfó,Aláìfarapa,Olùkalúkú
95,"""Kíni ọ̀rọ̀ Yorùbá fún 'Corncob'?""",Fùkù,,Fùkù,Ìgbín,Àgbàdó,Ewé,Ìgbó
96,Kíni Àwọn yorùbá n pè ní òṣìbàtà?,Ewé orí omi,,Ewé ẹsẹ̀ omi,Ewé ẹ̀ka omi,Ewé òrùlé omi,Ewé ọ̀fun omi,Ewé orí omi
