Question,Answer,prov_or_mc,option_1,option_2,option_3,option_4,option_5
"Màá fún ẹ ní ẹ̀gbàá kì í jẹ́ kí ẹ̀gbàá níyì, ẹ̀gbèrún, mélòó lọ wà ní ""ẹgbàfà""?",option_4,mc,Mẹ́rìndínlógún,Mẹ́dọ́gbọ̀n,Mẹ́rin,Mẹ́fà,Mọ́kànlá
"Kíni ìtumọ̀ òwe Yorùbá yìí ""ààlà ni yóò fi oko òlẹ hàn""?",option_3,mc,Ààlà kì í ṣe dandan,Ààlà kò ṣe pàtàkì rárá,"Ààlà ló máa fi hàn pẹ́, ọ̀le ló ń ṣe iṣẹ́ oko yí",Gbogbo oko nílò ààlà,Ààlà ni a fi mọ ẹni tí ò fẹ́ sinmi
"Tí Yorùbá bá sọ pé ènìyàn n ""run ìlèpa,"" kínì ìtumọ̀ àkànlò-èdè yìí?",option_1,mc,Iyẹ̀pẹ̀ tó kẹ́hìn iyẹ̀pẹ̀,Ẹnìkan tí ó ti ṣèbàjẹ́ patapata,Ẹni tí ó ti bọ sinu iparun,Eni tí ó ti sọnù kúrò lójú ọ̀nà àseyọrí,Ẹni tó fi adìẹ ṣọ́ àgùntàn
Irú ìyàwó wo ni Yorùbá ń pè ní ìyàwó àbètẹ́lẹ̀?,option_2,mc,Ìyàwó tí ò mọ iye ọjọ́ tí wọ́n yóò gbé e lọ,Ìyàwó tí a tọrọ láti kékeré,Ìyàwó tí wọ́n fi ṣ’àdéhùn,Ìyàwó tí ò mọ ìlú ọkọ tó ń lọ,Ìyàwó tí kò mọ ibi tí àwọn ọkọ rẹ̀ ń sùn
"Ewe kan wà tí àwọn ara ilẹ̀ ìlà oòrùn ń pè ní ""ugwu,"" kínì orúkọ tí Yorùbá ń pè é?",option_2,mc,Ewé Ọ̀gẹ̀dẹ̀,Ewé Ìròko,Èwé Àràbà,Èwé Dògòyàrò,Èwé ewédú
"Parí òwe Yorùbá yìí
""Gbogbo àkàsù kọ́ ló ń fojú kan ẹ̀fọ́ .....""",option_3,proverbs,Gbogbo ọmọ ewúré kọ́ ló máa d’àgbò,Gbogbo aṣọ funfun kọ́ ló ń tán,"Gbogbo ọmọ olóyè kọ́ ló ń joyè, gbgobo ọmọ ọba kọ́ ló ń dádé",Gbogbo igi kọ́ ló ń gbé èso.,àwọn kan fojú kan ìlà
"Ìgbà làákòkò, igi làákòkò yàtọ̀ sí ìlú. Kíni Yorùbá n pè ní àkòkò?",option_1,mc,Ẹyẹ,Òní,Àsìkò,Ìlú,Ẹja
"Kíni Yorùbá ń pè ní ""òkùdù""?
 ""Wọ́n ní òkùdù tó pa ẹṣin lè pa ènìyàn.""",option_2,mc,Òkè tó ṣub,Kòtò tí a ti patì,Gbọ̀ǹgbò igi tó já,Àpáta tó wó,Ọ̀nà tí kò ní àbájáde
"Kíni ọ̀rọ̀ Yorùbá fún ""accused"" àti ""suspect""?","Accused - Afẹ̀sùnkàn
 Suspect – Afurasí",mc,"Alájọ̀bi
Olùfura","Oníbàjẹ́ 
Oníwà àríwísí","Afẹ̀sùnkàn
Afurasí","Olùjẹ́jọ́
Elétàn","Oníṣe burúkú
Aláṣejù"
"Kíni ""court of appeal"" ní Yorùbá?",option_1,mc,Ilé-ẹjọ́ kòtémilọ́rùn,Ilé-ẹjọ́ Ìtunwí,Ilé-ẹjọ́ Ìtẹ̀síwájú Ìdájọ́,Ilé-ẹjọ́ Ẹ̀bẹ̀,Ilé-ẹjọ́ aríyá
"Tí ""reason"" bá jẹ́ ìdí ní èdè Yorùbá, kíni ""purpose""?",option_3,mc,Ìpinnu,Ìdípatàkì,Èrèdí,Ìmọ̀ràn,Ọ̀nà 
"Kíni Yorùbá ń pè ní ""calendar""?",option_3,mc,Ìṣirò ọjọ́,Àtòjọ ọjọ́,Kọ́jọ́dá,Àkànṣe ọdún,Ìwé ọjọ́
"Ibo ni àwọn Yorùbá máa ń pè ní ""ìlofi""?",option_3,mc,Ìsìnkú Ìlú,Ibi Ìrántí Ọba,Ibi tí ọba máa ń wà kí wọ́n tó lọ sí ìpèbí,Ibi Ìsìmi Ọba,Ilé ìtàjá àwọn obìnrin
"Àlọ́ oooo
 Óún sàìjó, ó ń fúnú ta, óún fẹ̀yìn ta, óún fọwọ́ ta. Kíni oooo?",option_3,mc,Afẹ́fẹ́,Òwú,Aláǹtakùn,Òpá àṣẹ,Àgùtàn
"Kíni Yorùbá n pè ní ""ìrèmòjé""?",option_2,mc,Orin ìbànújẹ́,Orin tí a máa fi ń dárò ọdẹ,Orin Ìdàgbére,Orin àbáláyé,Ìkìlọ̀ fún eranko
"Parí òwe Yorùbá yìí:
 ""Bí ọwọ́ eku bá ṣe mọ́ ..........""",...ló ṣẹ fi ń họra,proverbs,ìjà ni yóò ṣẹlẹ̀,ló ṣe máa fi sáré,ló ṣẹ fi ń họra,owó ló máa pé,..ló ṣe ń fi bọ aṣọ
Kíni ìyàtọ̀ láàrin àáró àti àgàdàgídì?,"Àáró - Ìfọ́wọ́sowọ́pọ̀
 Àgàdàgídì - Ọtí tí a fi ọ̀gẹ̀dẹ̀ àgbagbà ṣe",mc,"Àáró – Ọkọ̀ ojú omi tó ń lọ sí ìlú oyinbo
Àgàdàgídì – Ẹja tó ń gbé inú odò tó jin","Àáró – Igi tó ń so èso
Àgàdàgídì – Ẹranko inú igbó","Àáró – Owó tí wọ́n ń ná ní ọjà 
Àgàdàgídì – Gbọ́ngàn ńlá fún ìpàdé","Àáró – Àṣà tí àwon obìnrin ń ṣe ní ilé ọkọ
Àgàdàgídì – Ọmọ ọdún mẹ́ta tó ti bẹ̀rẹ̀ sí i sáré","Àáró - Ìfọ́wọ́sowọ́pọ̀
Àgàdàgídì - Ọtí tí a fi ọ̀gẹ̀dẹ̀ àgbagbà ṣe"
"Kíni Yorùbá ń pè ní ""ọ̀wẹ̀""?",option_4,mc,Ìkòkò,Ejò,Ọkà,Òkèlè,Ìmọ̀ràn
"Parí òwe yìí
 ""Òní òkété lẹ́yìn àrọ̀, ọ̀la òkété lẹ́yìn àrọ̀ .....""","...bí ojú ò bá ti àrò, ó yẹ kí ojú ó ti òkété",proverbs,ṣùgbọ́n ẹni tó bá fi ọgbọn ṣe ni yóò rí èsì,"ẹni tó gbàgbé ẹ̀kọ́ rẹ, kọ́ lówó ní ayè",àfi ẹni tó ba fi àdúrà ṣe,"bí ojú ò bá ti àrò, ó yẹ kí ojú ó ti òkété","...jẹ́ ká fi ọ̀sán jẹun, ká fi alẹ́ sùn"
Fi idi pa igba,option_1,proverbs,"Ẹni tó jókòó síbẹ̀, tí ó kọ̀ látì lọ",Ẹni tó ko ara rẹ̀ sí ìrònú,Ẹni tí ó kó ara rẹ̀ sínú wàhálà,Ẹni tó fẹ̀yìn ti àgbá,Ẹni tó ń bu omi si orí àjà
"Kíni Yorùbá n pè ní ""Adam Apple""?",option_3,mc,Òkè ọ̀fun,Ọ̀fun gígun,Gògóńgò,Èso Àdámù,Ìlà ọ̀run
"Kíni ""Baobab tree"" ní Yorùbá?",option_3,mc,Igi Àràbà,Igi Ìrókò,Igi oṣè,Igi Àgbọn,Igi òro
"""Ají má pa òùngbẹ́ bí ewé kíni????""",option_2,mc,ewúro,Erinrin,tẹ̀tẹ̀,àlùbósà,Ewúro
"Kíni ""Shin Guard"" ní Yorùbá?",option_4,mc,Èwù ẹsẹ̀,Orókún,Bàtà,Ojúgun,Àtẹlẹ̀sẹ̀
"Àlọ́ oooo
 A fèrìn gba òré wọlé, a fi túlásí tíí bọ̀ síta. Kíni oooo?",option_3,mc,Bàtà,Àṣọ,Oúnjẹ òun ìgbọ̀nsẹ̀,òwú fúnfun ,Ìfẹ́
"Àwọn Yorùbá bọ̀ wón ní ebi ní ń pa mọnámọná kú, kíni mọnámọná? Àti pé kíni ìdí tí a fi máa ń sọ wípé ẹ̀bì á pa kú?",option_2,mc,Aláńgbà,Ejò,Ẹfọ̀n,àkekèé,Adìẹ
"Kíni ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""Kọ̀wọ́ bọ ẹérú""?",Olè(Thief),mc,Ìṣekúṣe,Ẹ̀tàn,Èké,Olè,Ìbànújẹ
"Kíni ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""ìlérò"" tàbí ""wọlé ìlérò""?",option_2,mc,Ìbùgbé Ìbùkún Ọba,Ibi tí ọba máa ń wà kí wón tó lọ sí ìpèbí,Ilé Ìtajà Ọba,Ilé-ẹ̀kọ́ Ọba,Ilé tí a ti n gbọ́ ìròyìn
"Parí òwe Yorùbá yìí
 ""Òlè tó jí kákàkí ọba..........""",option_4,proverbs,Ti bọ́sí wàhálà,kì yóò le fi hàn ní gbangba,yóò mọ̀ pé ìjà ìlú kì í tán,Ówá ku ibi tí yíò ti fọn,ló fi í kọ orin ni gbàgede
Kíni ìyàtọ̀ láàrin amòfin àti agbófinró?,"Amòfin - Ẹni tí ó mọ òfin (Lawyer, Judge)
Agbófinró - Ọlọ́ọ̀pá",mc,"Amòfin – Ẹni tó ń kọ òfin tuntun.
Agbófinró – Ẹni tó ń ṣe ohun tí kò tọ́ ","Amòfin – Ẹni tó mọ gbogbo òfin lórí irọ̀. 
Agbófinró – Ẹni tó mọ gbogbo òfin lórí ijà","Amòfin - Ẹni tí ó mọ òfin 
 Agbófinró - Ọlọ́ọ̀pá","Amòfin – Ẹni tó le fi òfin gba ilẹ̀
Agbófinró – Ẹni tó ń fi òfin dá ilékun","Amòfin – Ẹni tó ń ta ilẹ̀ 
Agbófinró – Ẹni tó ń ra ilẹ̀"
"Kíni ọ̀rọ̀ Yorùbá fún ""fork""?",option_2,mc,Ọ̀bẹ́,Àmúga,Dìgbòlugi,Ìkarahun,Ọ̀bẹ tó ní ìka
"Àwọn wo ni Yorùbá n pè ní ""alájápá""?",option_1,mc,Oníṣòwò,Èni tí ó mọ gbogbo nǹkan,Onílé tí kò ní ilé,Ẹni tó ní Ìjàpá,Oníjàgídíjàgan
"""Kíni àwọn Yorùbá n pè ní 'orún'?""",option_3,mc,Àpò ìrèké,Ògùrọ̀,Igi ọfà,Ògiri ilé,Ewé Àgbálùmọ̀
"Ṣàlàyé ọ̀rọ̀ Yorùbá yìí ""èrèfé.""",option_3,mc,Àṣírí ọ̀rọ̀,Àròyé ọ̀rọ̀,Ọ̀rọ̀ tí a sọ lórí ahọ́n lásán,Ìyá tí kò bí ọmọ,Ọjà tí kò ní èrè
"""Ewé wo ni Yorùbá n pè ní 'ojú oró'? Níbo lati ń rí?""",option_3,mc,Ní orí ènìyàn,Ní inú ikoko,Orí omi,Ní inú igbá ata,Ní inú igbó
"""Kíni 'biased' ní Yorùbá?""",option_1,mc,Ojúṣàájú,Ìdààmú-ọkàn,Àdììtú,Ìpinnu,Alábòsí
