S/N,Question,Answer,Unnamed: 3,option_1,option_2,option_3,option_4,option_5,GPT4o_Answer,GPT_Match,Score (%)
37,Kíni ìyàtọ̀ láàrin àáró àti àgàdàgídì?,"Àáró - Ìfọ́wọ́sowọ́pọ̀
 Àgàdàgídì - Ọtí tí a fi ọ̀gẹ̀dẹ̀ àgbagbà ṣe",mc,"Àáró – Ọkọ̀ ojú omi tó ń lọ sí ìlú oyinbo
Àgàdàgídì – Ẹja tó ń gbé inú odò tó jin","Àáró – Igi tó ń so èso
Àgàdàgídì – Ẹranko inú igbó","Àáró – Owó tí wọ́n ń ná ní ọjà 
Àgàdàgídì – Gbọ́ngàn ńlá fún ìpàdé","Àáró – Àṣà tí àwon obìnrin ń ṣe ní ilé ọkọ
Àgàdàgídì – Ọmọ ọdún mẹ́ta tó ti bẹ̀rẹ̀ sí i sáré","Àáró - Ìfọ́wọ́sowọ́pọ̀
Àgàdàgídì - Ọtí tí a fi ọ̀gẹ̀dẹ̀ àgbagbà ṣe",option_5,0,20.208333333333332
38,"Kíni Yorùbá ń pè ní ""ọ̀wẹ̀""?",option_4,mc,Ìkòkò,Ejò,Ọkà,Òkèlè,Ìmọ̀ràn,"i apologize, but i'm unable to determine the correct option without the specific question. could you please provide the question?",0,20.208333333333332
39,"Parí òwe yìí
 ""Òní òkété lẹ́yìn àrọ̀, ọ̀la òkété lẹ́yìn àrọ̀ .....""","...bí ojú ò bá ti àrò, ó yẹ kí ojú ó ti òkété",proverbs,ṣùgbọ́n ẹni tó bá fi ọgbọn ṣe ni yóò rí èsì,"ẹni tó gbàgbé ẹ̀kọ́ rẹ, kọ́ lówó ní ayè",àfi ẹni tó ba fi àdúrà ṣe,"bí ojú ò bá ti àrò, ó yẹ kí ojú ó ti òkété","...jẹ́ ká fi ọ̀sán jẹun, ká fi alẹ́ sùn",option_1,0,20.208333333333332
40,Fi idi pa igba,option_1,proverbs,"Ẹni tó jókòó síbẹ̀, tí ó kọ̀ látì lọ",Ẹni tó ko ara rẹ̀ sí ìrònú,Ẹni tí ó kó ara rẹ̀ sínú wàhálà,Ẹni tó fẹ̀yìn ti àgbá,Ẹni tó ń bu omi si orí àjà,option: ẹni tó ko ara rẹ̀ sí ìrònú,0,20.208333333333332
41,"Kíni Yorùbá n pè ní ""Adam Apple""?",option_3,mc,Òkè ọ̀fun,Ọ̀fun gígun,Gògóńgò,Èso Àdámù,Ìlà ọ̀run,option_3,1,20.208333333333332
42,"Kíni ""Baobab tree"" ní Yorùbá?",option_3,mc,Igi Àràbà,Igi Ìrókò,Igi oṣè,Igi Àgbọn,Igi òro,option_2,0,20.208333333333332
43,"""Ají má pa òùngbẹ́ bí ewé kíni????""",option_2,mc,ewúro,Erinrin,tẹ̀tẹ̀,àlùbósà,Ewúro,option_1,0,20.208333333333332
44,"Kíni ""Shin Guard"" ní Yorùbá?",option_4,mc,Èwù ẹsẹ̀,Orókún,Bàtà,Ojúgun,Àtẹlẹ̀sẹ̀,option_4,1,20.208333333333332
45,"Àlọ́ oooo
 A fèrìn gba òré wọlé, a fi túlásí tíí bọ̀ síta. Kíni oooo?",option_3,mc,Bàtà,Àṣọ,Oúnjẹ òun ìgbọ̀nsẹ̀,òwú fúnfun ,Ìfẹ́,option_3,1,20.208333333333332
46,"Àwọn Yorùbá bọ̀ wón ní ebi ní ń pa mọnámọná kú, kíni mọnámọná? Àti pé kíni ìdí tí a fi máa ń sọ wípé ẹ̀bì á pa kú?",option_2,mc,Aláńgbà,Ejò,Ẹfọ̀n,àkekèé,Adìẹ,option_1,0,20.208333333333332
47,"Kíni ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""Kọ̀wọ́ bọ ẹérú""?",Olè(Thief),mc,Ìṣekúṣe,Ẹ̀tàn,Èké,Olè,Ìbànújẹ,option_3,0,20.208333333333332
48,"Kíni ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""ìlérò"" tàbí ""wọlé ìlérò""?",option_2,mc,Ìbùgbé Ìbùkún Ọba,Ibi tí ọba máa ń wà kí wón tó lọ sí ìpèbí,Ilé Ìtajà Ọba,Ilé-ẹ̀kọ́ Ọba,Ilé tí a ti n gbọ́ ìròyìn,option_2,1,20.208333333333332
49,"Parí òwe Yorùbá yìí
 ""Òlè tó jí kákàkí ọba..........""",option_4,proverbs,Ti bọ́sí wàhálà,kì yóò le fi hàn ní gbangba,yóò mọ̀ pé ìjà ìlú kì í tán,Ówá ku ibi tí yíò ti fọn,ló fi í kọ orin ni gbàgede,option_4,1,20.208333333333332
50,Kíni ìyàtọ̀ láàrin amòfin àti agbófinró?,"Amòfin - Ẹni tí ó mọ òfin (Lawyer, Judge)
Agbófinró - Ọlọ́ọ̀pá",mc,"Amòfin – Ẹni tó ń kọ òfin tuntun.
Agbófinró – Ẹni tó ń ṣe ohun tí kò tọ́ ","Amòfin – Ẹni tó mọ gbogbo òfin lórí irọ̀. 
Agbófinró – Ẹni tó mọ gbogbo òfin lórí ijà","Amòfin - Ẹni tí ó mọ òfin 
 Agbófinró - Ọlọ́ọ̀pá","Amòfin – Ẹni tó le fi òfin gba ilẹ̀
Agbófinró – Ẹni tó ń fi òfin dá ilékun","Amòfin – Ẹni tó ń ta ilẹ̀ 
Agbófinró – Ẹni tó ń ra ilẹ̀",option_4,0,20.208333333333332
51,"Kíni ọ̀rọ̀ Yorùbá fún ""fork""?",option_2,mc,Ọ̀bẹ́,Àmúga,Dìgbòlugi,Ìkarahun,Ọ̀bẹ tó ní ìka,option_2,1,20.208333333333332
52,"Àwọn wo ni Yorùbá n pè ní ""alájápá""?",option_1,mc,Oníṣòwò,Èni tí ó mọ gbogbo nǹkan,Onílé tí kò ní ilé,Ẹni tó ní Ìjàpá,Oníjàgídíjàgan,option_2,0,20.208333333333332
54,"""Kíni àwọn Yorùbá n pè ní 'orún'?""",option_3,mc,Àpò ìrèké,Ògùrọ̀,Igi ọfà,Ògiri ilé,Ewé Àgbálùmọ̀,option_3,1,20.208333333333332
55,"Ṣàlàyé ọ̀rọ̀ Yorùbá yìí ""èrèfé.""",option_3,mc,Àṣírí ọ̀rọ̀,Àròyé ọ̀rọ̀,Ọ̀rọ̀ tí a sọ lórí ahọ́n lásán,Ìyá tí kò bí ọmọ,Ọjà tí kò ní èrè,option_4,0,20.208333333333332
56,"""Ewé wo ni Yorùbá n pè ní 'ojú oró'? Níbo lati ń rí?""",option_3,mc,Ní orí ènìyàn,Ní inú ikoko,Orí omi,Ní inú igbá ata,Ní inú igbó,option_3,1,20.208333333333332
57,"""Kíni 'biased' ní Yorùbá?""",option_1,mc,Ojúṣàájú,Ìdààmú-ọkàn,Àdììtú,Ìpinnu,Alábòsí,the correct option is: ìdààmú-ọkàn,0,20.208333333333332
58,"""Kíni ọ̀rọ̀ Yorùbá fún 'bile'?""",option_4,mc,Omi inu ẹ̀dọ̀,Ìbàjẹ́ inu,Omi ẹ̀fọ́,Òróǹro,Ẹ̀jẹ̀,option_5,0,20.208333333333332
59,"""Dárúkọ ìwé ìròyìn tí ó kọ́kọ́ jáde ní èdè Yorùbá.""",option_3,mc,Aláròyé,Atọ́ka,Ìwé ìròyín fún àwọn Ẹ̀gbá àtí Yorùbá ní 1859,Akéde Èkó,Ìwé Ìròyìn Ọ̀yọ́ àti Ìbàdàn (1865),option_3,1,20.208333333333332
60,"Àrokò jẹ́ ọ̀nà tí a fi ránṣẹ́ sí ènìyàn míràn, tí ìtumọ̀ rẹ̀ jẹ́ àsírí láàrin ẹni tí o paá àti ẹni tí a fi ránṣẹ́ sí.
 Tí wọ́n bá fi ""eso igi"" ránṣẹ́ sí ènìyàn, kí ló túmọ̀ sí?",Ààrùn(Sickness),mc,Oúnjẹ ń bọ̀,Ààrùn,Àlàáfíà ni,Owó ń bọ̀,Ìfẹ́,option_3,0,20.208333333333332
61,"""Àwọn wo ni Yorùbá n pè ní 'agbékútà'?""",option_5,mc,Àwọn tó ń kó ilé pẹ̀lú òkúta,Àwọn tó ń ta òkúta,Àwọn tó ń jẹ òkúta,Ọmọ olókùta,Ọmọ jàndùkú,option_4,0,20.208333333333332
62,"""Ìlú wo ní ilè Yorùbá ni wọ́n ti ń ṣe òdún 'ọlọ́jọ́'?""",option_1,mc,Ilé-ifẹ̀,Ìlọrin ,Ìkìrun,Àkúrẹ́,Ìkẹjà,option_2,0,20.208333333333332
63,"""Kíni Yorùbá n pè ní Aditu.....""",option_1,mc,Ọrọ tó ta kókó,Ojú tí kò gbọ́n,Àdàbà tó sùn pẹ̀lú ẹyẹ,Àkùkọ tí kò kígbe,Ohun tí kò rọrùn,option_1,1,20.208333333333332
64,"""Parí òwe yìí: Ebí ń pamí ọlọ́ṣẹ ń kiri ...""",option_2,,Ṣùgbọ́n òúnjẹ ò sí lọ́wọ́ mi,"Aó kọ́kọ́ fọ tinú, kí a tó fọ tòde",Ó yà mi lẹ́nu bí mo ṣe ń sùn,Àmi àbùkù ni,Ṣùgbọ́n mo mọ ibi tí wọ́n ti ń ta àmàlà,option_2,1,20.208333333333332
65,"""Kíni àkọ́lé orúkọ ọba ìlú èdè?""",option_2,,Alaáfin,Tìmí,Olúbàdàn,O̩wá Obòkun,Olóṣùpá,option_3,0,20.208333333333332
66,"""A sọ̀rọ̀ kéle b'ojú wo'gbé ...""",option_4,,"Ẹnu kò gbọ̀n, ọwọ́ ló mọyà","Bí a bá wí fún ọdẹ, ọdẹ ló ye","Àjòjí ní ń gbọ̀, ara ilé ní ń ṣàlàyé","Ìgbẹ́ kìi rò, ẹni a bá wí fún ni ń ṣekú pa ni","Òun t’ó ju òun rí, òun ò ṣọ̀",option_3,0,20.208333333333332
67,"""Parí òwe yìí: Aní kó mu wá, ó ní kòsí ...""",Ahun ni ẹni náà lójú alágbe,,wọ́n ní kò sí omi nínú òkun,wọ́n ní kò sí iṣu nínú ẹ̀bà.,ahun ni ẹni náà lójú alágbe,wọ́n ní kò sí oúnjẹ nínú ilé aláwàdà,wọ́n ní kò sí agbára nínú ẹsẹ̀,option_2,0,20.208333333333332
68,Who wrote the poem “Ìṣẹ́ lògún Ìṣẹ́” and in what year?,option_1,,Bàbá D.F. Ọdúnjọ,Sàngó Olúkòso,Àlàbí Òrìṣàbí,Dr. Kòfó Òdùṣọ́lá,Adébáyọ̀ Òkèwándé,option_1,1,20.208333333333332
69,Igba Iwase,option_2,,Ìgbà tí ẹyẹ ń sin ẹja,Ayé Àtíjọ́,Ìgbà tí irun kì í dàgbà lórí,Ìgbà tí ilẹ̀ kì í gbóná,Ìgbà tí adìẹ kì í fò ,option_3,0,20.208333333333332
70,"""Kíni ọ̀rọ̀ Yorùbá fún 'Barber'?""",option_2,,Aláṣejù,Onígbàjámọ̀/Gẹrígẹrí,Onídìrí,Agẹrun,Adárunsí,option_2,1,20.208333333333332
71,"""Kíni ọ̀rọ̀ Yorùbá fún 'Brass'?""",option_4,,Ẹ̀rọ,Ọ̀bẹ,Kọ̀kọ̀rọ̀,Idẹ,Góólù,option_5,0,20.208333333333332
72,"What is the yorùbá word for ""bait"" ?",option_3,,Ọkùnrin,Ẹran,Ìjẹ,Omi,Ṣúkù,"the question seems to be looking for an answer that fits a specific context or category in the yoruba language. however, without additional context or a specific question to analyze, it is challenging to determine the best answer directly. if you're asking for a category to which these words belong (e.g., living things, food items, etc.), i would need more context. if this is part of a categorization or a fill-in-the-blank exercise related to a specific context, please provide that for a more precise answer.

given the options:
- ọkùnrin (man)
- ẹran (meat/animal)
- ìjẹ (food)
- omi (water)
- ṣúkù (a type of hairstyle/can relate to something specific)

each word belongs to different categories. please provide the specific context or category for a precise answer",0,20.208333333333332
73,Àkókò wo ni Yorùbá n pè ní Ìyálẹ́ta?,option_5,,Ìyàwó ọ̀sán,Ọ̀sán tuntun,Ìyàwó ọ̀sán,Ìsàlẹ̀ ọ̀sán ,Ago mọ́kànlá àárọ̀ sí méjìlá ọ̀sán,option_4,0,20.208333333333332
74,"What is ""gizzard"" in Yorùbá ?",option_2,,Ẹsẹ àdíyẹ,Iwe,Iṣan àdíyẹ,Ẹyin àdíyẹ,Ìdí àdíyẹ,option_3,0,20.208333333333332
75,"Kíni Yorùbá n pè ní ọjọjọ 
 kíní wọ́n fiì n ṣe?",option_2,,"Ounjẹ ilẹ̀ Yoruba, Agbado ni a fi ń ṣe","Oúnje ilé Yorùbá, Iṣu ewùrà ni a fi ń ṣé","Ounjẹ ilẹ̀ Yoruba, Èpo pupa ni a fi ń ṣe","Ounjẹ ilẹ̀ Yoruba, Iresi ni a fi ń ṣe","Ounjẹ ilẹ̀ Yoruba, Eba ni a fi ń ṣe",option_5,0,20.208333333333332
76,"Nínú Eto ẹbí ní ilẹ̀ Yorùbá 
 kíní Yorùbá n pè 
 half siblings from the same father?",Obà kan,,Ọmọ ọba,Ọbà kan,Ọmọ ajé,Ẹ̀jẹ̀,Ọmọ ìbàdàn,option_3,0,20.208333333333332
77,"Parí ọ̀wé yìí 
 Abánimúàdiyẹ a fi orókun bó, 
 bí owó bá ba Adiyẹ.....",option_1,,a ó gbé adìye fún ẹni tó ní,A ó fi òpó fun ẹni tó ní iṣẹ́,A ó fi ẹran fun ẹni tó fẹ́ jẹun,A ó fi ìmọ̀ràn fún ẹni tó ti kọ́ ẹ̀kọ́,A ó fi ẹyẹ fún ẹni tó fẹ́,option_5,0,20.208333333333332
78,"Parí ọ̀wé yìí 
 Tàkúté tí o pa l'áginjú a pé 
 lókò kí wọ́n to gbe wá sí ilé....",option_5,,A pẹ́ ní ìlú kí wọ́n tó gbe wá sí ilé,A pẹ́ ní abule kí wọ́n tó gbe wá sí ilé,A pẹ́ ní tẹlifiṣọ́nnú kí wọ́n tó gbe wá sí ilé,A pẹ́ ní báǹkì kí wọ́n tó gbe wá sí ilé,A pẹ́ lóko kí ó tó wá sílé,a pẹ́ lóko kí ó tó wá sílé,0,20.208333333333332
79,Iru ọmọ wo ni a n sọ ní òní?,option_4,,Ọmọ tí ó kọrin,Ọmọ tí ó níyì,Ọmọ tí ó ń ṣiṣẹ́,Ọmọ tí kò sukún nígbà tí a bi,Ọmọ tí kò le sùn,option_4,1,20.208333333333332
80,"Kini Yorùbá n pè ní ""àpọ́n""",option_4,,Ọ̀pá,Ìtọ́jú,Ọ́fíìsì,Kóró inú èso òro,Owó,"to provide a precise answer, i will need the actual question you're referring to that involves these options. could you please supply the question?",0,20.208333333333332
82,Oṣù wo ní oṣù òwàrà?,Oṣù kéwàá,,Oṣù karùn-ún,Oṣù kẹ́wàá,Oṣù kẹrin,Oṣù kéjì,Oṣù kẹ́fà,"to accurately determine the best answer, i need to know the specific question you want answered regarding the yoruba months. once you provide the question, i will analyze and provide the corresponding answer",0,20.208333333333332
83,"Kini ọ̀rọ̀ Yorùbá yìí túmọ̀ sí ""Oódẹ""?",option_1,,Olófòófó,Ọ̀dọ́,Ẹran,Ìtàn,Olóṣèlú,"to provide an accurate response, the specific question needs to be presented. however, from the options provided, here is a general understanding of each:

1. olófòófó means 'gossiper.'
2. ọ̀dọ́ means 'river.'
3. ẹran means 'meat.'
4. ìtàn means 'story.'
5. olóṣèlú means 'politician.'

please present the specific question for an accurate response",0,20.208333333333332
84,"Ooni Adeyeye Enitan Ogunwusi (Ọjájá II) ní Ooni ti Ife bayi 
 “kíni orúkọ ọba to jẹ kí wọ́n to jẹ”?",option_3,,Ọba Ẹlẹ́dá,Ọba Ayé,Aláyélúwa Ọba Okùnádé Ṣíjúwadé Olúbùṣe 2,Ọba ìbèjì,Ọba Olú,option_3,1,20.208333333333332
85,"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Farajìn""",option_2,,Kí ènìyàn fi etí rẹ̀ gbọ́ àwọn àlàyé,Kí ènìyàn fi ara rẹ̀ sílẹ̀ fún nkan bóyá ẹsìn tàbí ìsìn,Kí ènìyàn fi ọwọ́ rẹ̀ fọwọ́sowọ́pọ̀,Kí ènìyàn fi ìmọ̀lára rẹ̀ tan káàkiri fún nkan tí kò ní fi ọpọlọ hàn,Kí ènìyàn fi ìfọ̀rọ̀wánilẹ́nuwò hàn fún ohun tí kò ní ṣe,option_2,1,20.208333333333332
86,"Àrokò jẹ́ ọ̀nà tí a fi ránṣẹ́ sí ènìyàn míràn tí ìtumọ̀ rẹ̀ jẹ́ asiri láàrín ènìyàn tí o paá àti ènítí a fi ránṣẹ́ sí tí wọ́n bá fi ""owó eyo"" ránṣẹ́ sí ènìyàn Kí ló túmọ̀ sí?",option_2,,Owo tó pọ̀,Owó ń bọ̀,Owó àsírí,Iṣẹ́ ń bọ̀,Afẹ́fẹ́ ń bọ̀,option_2,1,20.208333333333332
87,Ebí ń pa èjò ahun ń yan....,option_2,,Àtahùn àtejọ̀ ẹran tó ń gbóná ni,Àtahun àtejò ẹran jíje ni,Àtahùn àtejọ̀ ẹran tuntun ni,Àtahùn àtejọ̀ ẹran tí kò ní yàtọ̀ ni,Àtahùn àtejọ̀ ẹran tó tutù ni,option_1,0,20.208333333333332
88,"Yato si efon, kini Yoruba n pe mosquito",option_3,,Gànmùgànmù,Ajá-ilé,Yànmùyánmú,Eku-igi,Ojúiná,option_5,0,20.208333333333332
